"Gate ID","Category","Component","L1 status","L1 evidence","L2 status","L2 evidence","Overall","Severity","Confidence","Affected count","Examples","Repo files","Enforcement mechanism","Stage","Blocking","Complexity","Team"
"G58","Images and media / Rendering","Interactive crawlable-equivalent","Pass","SEO-RULES §3.5 search canonical→city + cards link crawlable; DESIGN §8.6 list-primary map-supplementary, §8.5 real pagination, §8.8 accordion-in-DOM; video N/A","Unable to verify","No rendered HTML to prove indexable-behind-filter equivalence","Partial pass","Medium","Highly likely","GW-005 search, GW-002/004 maps","list view + numbered pagination as map/filter equivalent","SEO-RULES.md §3.5, DESIGN.md §8.5/§8.6/§8.8","CI rendered-equivalence check (absent)","S1,S2","HARD","M","Web eng"
"G59","Rendering / Content","Hidden-content-in-DOM rule","Pass","SEO-RULES §2 a11y-tree, §6 no-hidden/no-cloaking, §8 details-as-text; DESIGN §8.8 accordion real button+region in DOM, §8.6 map supplementary","Unable to verify","No DOM/rendered HTML to test post-interaction content or dup blocks; design-time: scripts/validate-screens.mjs + PostToolUse hook (2026-07-24)","Partial pass","Medium","Highly likely","GW-004 (amenities/rules), FAQ blocks, maps","amenities/house-rules in DOM, not behind a tab","SEO-RULES.md §2/§6/§8, DESIGN.md §8.6/§8.8","CI DOM presence check (absent)","S1,S2","HARD","M","Web eng"
"G60","Accessibility / semantic HTML","Semantic HTML + a11y","Pass","SEO-RULES §2 landmarks+one-H1; DESIGN §11 WCAG-AA/never-color-only/roles, §8.7 real <table>, §3.9 GW-007 caption+th-scope, §8.2 no-clickable-div card","Unable to verify","No code/axe; demo cards are component demos not screens","Partial pass","Medium","Highly likely","All indexable pages; GW-007 matrix","card = one <a>/<button>; party-type matrix real <table>","SEO-RULES.md §2/§3.9, DESIGN.md §8.1/§8.2/§8.7/§11","CI axe/semantic test (absent); design rule (present)","S1,S2","HARD","M","Web eng + Design"
"G61","Rendering","Core rendering reliability","Pass","SCREENS §6 empty-city-page fail-closed; ARCH §15.2 SSR/RSC/ISR; SEO-RULES §6 no cloaking; city-facts §0 price-placeholder; UPGRADED post-spec: rendering-and-routes §4/§4.1 per-template load-deps + §6 fail-closed; source-of-truth R7 fail-closed-on-missing-facts; test #35 empty-inventory","Unable to verify","Per-template load-dependency/failure-mode docs missing (only city template fail-closed); no rendered/crawl output","Partial pass","High","Highly likely","GW-002/003/004/005/009 templates","empty city page → 404/coming_soon (specified); listing/area API-fail behaviour (unspecified)","SCREENS.md §6, ARCHITECTURE.md §15.2, SEO-RULES.md §6, city-facts.md §0","Pre-deploy render check (absent)","S0,S2,S4","HARD","M","Web eng"
"G62","Rendering / CWV","CWV budgets per template","Pass","SEO-RULES §8 + DESIGN §12 LCP<2.5/INP<200/CLS=0 + per-screen byte budgets + pyramid + font subset + transform-only motion; NOTE: G73 (EXTENDED-GATES) supersedes with a HARD per-template budget (CLS=0)","Unable to verify","No Lighthouse/CrUX/field data; no code","Partial pass","Medium","Highly likely","All indexable templates (esp. search/listing)","search skeleton-first; listing LQIP; CLS 0 aspect-boxes","SEO-RULES.md §8, DESIGN.md §12","Lighthouse CI + CrUX (absent)","S2,S5","SOFT (HARD if blocks render)","M","Web eng"
"G63","Search Console alignment","Indexing-status monitoring","Pass","post-launch-monitoring.md §1 (Search Console setup at launch: dual domain + URL-prefix property verification, the 9 mandated index-status collections, GATE 34 import fields + 28d/3m/6m/12m windows, weekly/monthly cadence) + §2 (weekly index-triage workflow; HARD blocking-issue rule on important-page index/impression regression)","Not applicable","Pre-launch; no Search Console / index data yet; becomes verifiable at S5 once the property is verified and the weekly importer runs (deferred)","Partial pass","Medium","Confirmed","All indexable pages post-launch","indexed vs crawled-not-indexed vs soft-404 tracking","SEO-RULES.md §3.11/§3/§4, (missing) SC-monitoring spec","Search Console (not set up)","S5","HARD","M","SEO eng"
"G64","Search Console alignment","Unexpected-ranking review","Pass","post-launch-monitoring.md §3 (unexpected-ranking decision workflow: query×page anomaly report for queries ranking without on-page match + the 9 mandated association causes + the 4 recorded decisions)","Not applicable","Pre-launch; no rankings yet; becomes verifiable at S5 (deferred)","Partial pass","Low","Confirmed","Post-launch queries","queries ranking without on-page match","(missing) SC-monitoring spec","Search Console (not set up)","S5","SOFT","M","SEO eng"
"G65","Backlinks / external signals","Backlink monitoring","Pass","post-launch-monitoring.md §4 (backlink monitor: GSC Links report as primary source + optional third-party later; anchors-vs-topic checks; redirect-rot prevention tied to redirects-canonicals.md §3 lifecycle so no linked URL rots)","Not applicable","Pre-launch; no backlink data yet; becomes verifiable at S5 (deferred)","Partial pass","Low","Confirmed","Commercial pages post-launch","referring domains, anchor text, redirect-to-obsolete","SEO-RULES.md §4, (missing) backlink-monitoring spec","Backlink tool (not set up)","S5","SOFT","M","SEO eng"
"G66","Automated test coverage","SEO test infrastructure","Pass","Not designed; specs/ empty; no test-coverage.md; ci.yml has no SEO jobs (grep seo/canonical/hreflang/json-ld = 0) — spec in flight (Wave 1); UPGRADED post-spec: testing-and-publishing.md §1 41-test SEO suite designed + verification methodology (next build + preview crawl); L2 stays Fail (no executable tests)","Fail","No SEO tests; no rendered-HTML harness; deploy can pass with placeholders","Partial pass","Critical","Highly likely (L1) / Confirmed (L2 absent)","Every template + every page","(none) — CI runs lint/typecheck/test/security only",".github/workflows/ci.yml, gates/semantic-seo/specs/, test-coverage.md","CI SEO suite (ABSENT)","S0,S2","HARD","L","SEO eng + Web eng"
"G67","Automated test coverage","41 required regression tests","Pass","None of the 41 tests exist; no test files; ci pnpm test has no SEO cases — spec in flight (Wave 1); UPGRADED post-spec: testing-and-publishing.md §1 all 41 regression tests enumerated w/ mutation seeds + pass conditions; L2 stays Fail (no mutation proof)","Fail","No mutation proof any check catches an introduced failure","Partial pass","Critical","Highly likely (L1) / Confirmed (L2 absent)","Every template + every page","missing-title, canonical→redirect, invalid JSON-LD, placeholder, price↔schema, orphan (all absent)",".github/workflows/ci.yml, (missing) test suite","Mutation-tested CI checks (ABSENT)","S2","HARD","L","SEO eng + Web eng"
"G68","Publishing governance","Content publishing controls","Pass","HANDOFF §7.7 copy-gov + city-facts binding + verify-flags; SCREENS §6 supply-gate, §0.2 DoD SEO-checklist; SEO-RULES §9 checklist, §5 founder sign-off; UPGRADED post-spec: testing-and-publishing.md §2 publishing workflow (no CMS geo free-create, AI human-verify, claims flow, mandatory source dates, placeholder block)","Unable to verify","No formal publishing-workflow/CMS spec (no eng-review gate, mandatory dates, AI-verification, placeholder block); no CMS built","Partial pass","High","Highly likely","16 indexable rows + city/area instances","supply-gate before city page; §9 checklist before ""done""","CLAUDE-DESIGN-HANDOFF.md §7.7, SCREENS.md §6/§0.2, SEO-RULES.md §5/§9","CMS publish gate (absent); manual checklist (present)","S0,S3","HARD","M","SEO eng + Content"
"G69","Page-intent clarity / Keywords","Money-query H1/H2 ownership","Pass","EXTENDED-GATES §G69 primary/secondary money-query owner map + anti-stuffing bounds; page-intent-map.csv per-row primary/secondary; SEO-RULES §2/§3/§7 (spec authored 2026-07-24)","Unable to verify","No code/CI; per-page occurrence-count + registry collision scan not built","Partial pass","High","Highly likely / Unable to verify","Every indexable page type (16 rows + city/area instances)","city H1 owns ""stays in {city}""; type modifiers cede to type×city page","EXTENDED-GATES.md,page-intent-map.csv,SEO-RULES.md","spec","S0,S1,S3","HARD","M","SEO eng + Content"
"G70","Trust and factual reliability","Google spam-policy compliance","Pass","EXTENDED-GATES §G70 per-policy pass-conditions (scaled/parasite/cloaking/hidden/redirects) w/ 2026-07-24 citations; SEO-RULES §6 never-do; ties G32/G33 + G2/G19 (spec authored 2026-07-24)","Unable to verify","No code/CI; dual-UA cloaking-parity, hidden-text, third-party-content scans not built","Partial pass","High","Highly likely / Unable to verify","Every template + page","byte-equal bot/user HTML; no place-swap city pages; no hidden text","EXTENDED-GATES.md,SEO-RULES.md","spec+CI","S0,S2,S3,S4","HARD","M","SEO eng + Web eng"
"G71","Content uniqueness","People-first content self-assessment","Pass","EXTENDED-GATES §G71 publish-blocking people-first checklist mapped to city-facts + G52 evidence; SEO-RULES §6/§7; ties G27/G51 (spec authored 2026-07-24)","Unable to verify","No content/CMS; self-assessment not wired into publish flow","Partial pass","Medium","Highly likely / Unable to verify","Every indexable content page/article","first-hand value + satisfaction + E-E-A-T + no-filler per page","EXTENDED-GATES.md,city-facts.md,SEO-RULES.md","spec+manual","S3","HARD","M","Content"
"G72","Semantic topic coverage","AEO / AI-search readiness","Pass","EXTENDED-GATES §G72 40-60w answer-first + entity string + FAQ verbatim + documented llms.txt SKIP + AI-referral segment; SEO-RULES §7 (spec authored 2026-07-24)","Unable to verify","No rendered HTML; answer-first block + entity-diff + AI-referral segment not built","Partial pass","Medium","Highly likely / Unable to verify","Every indexable page (answer-first) + homepage entity","40-60w answer-first in initial HTML; entity ""SalamStay, a stays marketplace for Pakistan""","EXTENDED-GATES.md,SEO-RULES.md","spec","S1,S3,S5","HARD (S1/S3) / SOFT (S5)","M","SEO eng + Content"
"G73","Rendering / CWV","CWV + page-experience hard budgets","Pass","EXTENDED-GATES §G73 verified thresholds (LCP≤2.5s/INP≤200ms; internal CLS=0 stricter) + interstitial policy + image-SEO machine standards; SEO-RULES §8 + DESIGN §12 (supersedes G62; spec authored 2026-07-24)","Unable to verify","No Lighthouse/field/CI; per-template budget + per-image machine-check not built","Partial pass","High","Highly likely / Unable to verify","All indexable templates (esp. search/listing)","CLS=0; LCP hero eager+priority; alt+explicit dimensions per image","EXTENDED-GATES.md,SEO-RULES.md,DESIGN.md","spec+CI","S1,S2,S4","HARD","M","Web eng + Design"
"G74","Structured data","SERP-feature targeting matrix","Pass","EXTENDED-GATES §G74 per-type feature-eligibility matrix (FAQ low-eligibility; VacationRental partner-feed-only; no on-page price/Offer) w/ 2026-07-24 citations; SEO-RULES §3.4 + G44/45/49 (spec authored 2026-07-24)","Unable to verify","No rendered JSON-LD/CI; schema-forbidden scan + rich-result monitoring not built","Partial pass","Medium","Highly likely / Unable to verify","Every indexable page type","WebSite+SearchAction (home); BreadcrumbList deep pages; no on-page VacationRental/Offer","EXTENDED-GATES.md,SEO-RULES.md","spec","S0,S2,S5","HARD (S0/S2) / SOFT (S5)","M","SEO eng + Web eng"
"G75","Crawlability / Canonicalisation","Pagination & faceted-nav policy","Pass","EXTENDED-GATES §G75 path-based /page/{n} self-canonical unique-title + facets noindex,follow→clean shell; redirects-canonicals.md §4/§5 + SEO-RULES §3.5/§4 (spec authored 2026-07-24)","Unable to verify","No rendered pages/CI; facet-noindex + pagination-canonical checks not built","Partial pass","Medium","Highly likely / Unable to verify","City/area listing pages + all facet param URLs","/stays-in-{city}/page/2 self-canonical; ?sort=/?dates= noindex→clean shell","EXTENDED-GATES.md,redirects-canonicals.md,SEO-RULES.md","spec","S0,S1,S2","HARD","M","Web eng + SEO eng"
"G76","Crawlability","Internal-search indexability & crawl-trap prevention","Pass","EXTENDED-GATES §G76 /search noindex,follow + param results noindex→clean shell + crawl-trap caps via robots; robots-sitemap.md §2 + SEO-RULES §3.5 (spec authored 2026-07-24)","Unable to verify","No rendered HTML/CI; noindex-in-initial-HTML + crawl-trap probe not built","Partial pass","Medium","Highly likely / Unable to verify","/search + all parameterized search URLs","/search + ?q=/?city=/?dates= all noindex,follow, absent from sitemap","EXTENDED-GATES.md,robots-sitemap.md,SEO-RULES.md","spec+CI","S0,S2,S4","HARD","M","Web eng + SEO eng"
"G77","Entity consistency","Brand SERP & knowledge-panel integrity","Pass","EXTENDED-GATES §G77 real owned sameAs only + homepage owns ""SalamStay"" + no competitor names in title/H1; entity-register.md §1/§7 + SEO-RULES §5 + G47 (spec authored 2026-07-24)","Unable to verify","No rendered schema/CI; sameAs-resolves + competitor-term scan + brand-SERP monitor not built","Partial pass","Medium","Highly likely / Unable to verify","Homepage (/,/ur) + every page (entity consistency)","homepage owns bare brand; zero competitor names in titles/H1s","EXTENDED-GATES.md,entity-register.md,SEO-RULES.md","spec","S0,S2,S5","HARD (S0/S2) / SOFT (S5)","S","SEO eng"
"G78","Rendering / IA","Design → Next.js structural parity","Pass","EXTENDED-GATES §G78 + design-to-nextjs-conversion.md §2 JSX-contract (landmarks, single H1, footer anchors, tokens) + §3 automated parity diff; SEO-RULES §2; ties G26/G30/G37/G60 (spec authored 2026-07-24)","Unable to verify","No code/CI; rendered-vs-card parity diff + token-fidelity scan not built","Partial pass","High","Highly likely / Unable to verify","Every indexable web screen (GW-001/002 pilots first)","extracted heading outline + landmark tree + anchor set == approved card","EXTENDED-GATES.md,design-to-nextjs-conversion.md,SEO-RULES.md","spec+CI","S1,S2,S4","HARD","M","Web eng"
